zero;0 ноль;ˈzɪərəʊ 
one;1 один;wʌn 
two;2 два;tuː 
three;3 три;θriː 
four;4 четыре;fɔː 
five;5 пять;faɪv 
six;6 шесть;sɪks 
seven;7 семь;ˈsɛvn 
eight;8 восемь;eɪt 
nine;9 девять;naɪn 
ten;10 десять;tɛn 
eleven;11 одиннадцать;ɪˈlɛvn 
twelve;12 двенадцать;twɛlv 
thirteen;13 тринадцать;ˈθɜːˈtiːn 
fourteen;14 четырнадцать;ˈfɔːˈtiːn 
fifteen;15 пятнадцать;ˈfɪfˈtiːn 
sixteen;16 шестнадцать;ˈsɪksˈtiːn 
seventeen;17 семнадцать;ˈsɛvnˈtiːn 
eighteen;18 восемнадцать;ˌeɪˈtiːn 
nineteen;19 девятнадцать;ˈnaɪnˈtiːn 
twenty;20 двадцать;ˈtwɛnti 
twenty-one;21 двадцать один;ˈtwɛnti-wʌn 
twenty-two;22 двадцать два;ˈtwɛnti-tuː 
twenty-three;23 двадцать три;ˈtwɛnti-θriː 
thirty;30 тридцать;ˈθɜːti 
thirty-one;31 тридцать один;ˈθɜːti-wʌn 
thirty-two;32 тридцать два;ˈθɜːti-tuː 
thirty-three;33 тридцать три;ˈθɜːti-θriː 
forty;40 сорок;ˈfɔːti 
forty-one;41 сорок один;ˈfɔːti-wʌn 
forty-two;42 сорок два;ˈfɔːti-tuː 
forty-three;43 сорок три;ˈfɔːti-θriː 
fifty;50 пятьдесят;ˈfɪfti 
fifty-one;51 пятьдесят один;ˈfɪfti-wʌn 
fifty-two;52 пятьдесят два;ˈfɪfti-tuː 
fifty-three;53 пятьдесят три;ˈfɪfti-θriː 
sixty;60 шестьдесят;ˈsɪksti 
sixty-one;61 шестьдесят один;ˈsɪksti-wʌn 
sixty-two;62 шестьдесят два;ˈsɪksti-tuː 
sixty-three;63 шестьдесят три;ˈsɪksti-θriː 
seventy;70 семьдесят;ˈsɛvnti 
seventy-one;71 семьдесят один;ˈsɛvnti-wʌn 
seventy-two;72 семьдесят два;ˈsɛvnti-tuː 
seventy-three;73 семьдесят три;ˈsɛvnti-θriː 
eighty;80 восемьдесят;ˈeɪti 
eighty-one;81 восемьдесят один;ˈeɪti-wʌn 
eighty-two;82 восемьдесят два;ˈeɪti-tuː 
eighty-three;83 восемьдесят три;ˈeɪti-θriː 
ninety;90 девяносто;ˈnaɪnti 
ninety-one;91 девяносто один;ˈnaɪnti-wʌn 
ninety-two;92 девяносто два;ˈnaɪnti-tuː 
ninety-three ;93 девяносто три;ˈnaɪnti-θriː  
100 сто;one hundred;wʌn ˈhʌndrəd 
200 двести;two hundred;tuː ˈhʌndrəd 
300 триста;three hundred;θriː ˈhʌndrəd 
400 четыреста;four hundred;fɔː ˈhʌndrəd 
500 пятьсот;five hundred;faɪv ˈhʌndrəd 
600 шестьсот;six hundred;sɪks ˈhʌndrəd 
700 семьсот;seven hundred;ˈsɛvn ˈhʌndrəd 
800 восемьсот;eight hundred;eɪt ˈhʌndrəd 
900 девятьсот;nine hundred;naɪn ˈhʌndrəd 
1000 тысяча;thousand;ˈθaʊzənd 
2000 две тысячи;two thousand;tuː ˈθaʊzənd 
3000 три тысячи;three thousand;θriː ˈθaʊzənd 
10000 десять тысяч;ten thousand;tɛn ˈθaʊzənd 
100000 сто тысяч;one hundred thousand;wʌn ˈhʌndrəd ˈθaʊzənd 
миллион;million;ˈmɪljən 
миллиард;billion;ˈbɪljən
